robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
0.22,0.113,0.86,0.14,0.0,44.41,930731035410,35.0,35.0,1,70,2.5,0,0,0.0,0,120.0,0.0287,2450,2.3219,4,0.1822,0.5,0.0068,0.0,0.63,0.55,6,0,0,0,1
0.22,0.113,1.0,0.0,0.0,30.62,686841379996,25.0,25.0,1,45,1.5,0,0,0.0,0,90.0,0.0145,1250,2.3219,6,0.3488,0.7,0.0068,0.0,0.7,0.61,2,0,0,0,1
0.22,0.113,0.4,0.6,0.0,40.01,896893334229,45.0,45.0,1,15,1.5,0,0,0.0,0,180.0,0.0192,4050,2.3219,2,0.7275,0.0,0.0,1.0,0.56,0.56,12,0,0,0,1
0.22,0.113,0.77,0.23,0.0,44.13,1106080001103,45.0,45.0,1,45,2.0,0,0,0.0,0,270.0,0.0303,4050,2.3219,4,0.5049,0.2,0.0155,0.0,0.52,0.71,4,0,0,0,1
0.22,0.113,0.77,0.23,0.0,69.2,1351196668016,45.0,45.0,1,70,2.5,0,0,0.0,0,320.0,0.037,4050,2.3219,5,0.3593,0.6,0.0111,0.0,0.55,0.51,4,0,0,0,1
0.22,0.113,0.89,0.11,0.0,30.99,589596429160,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.0152,1250,2.3219,2,0.2132,0.0,0.0,1.0,0.5,0.97,2,0,0,0,1
0.22,0.113,1.0,0.0,0.0,22.8,495080000492,25.0,25.0,1,45,2.0,0,0,0.0,0,180.0,0.014,1250,2.3219,2,0.3236,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1
0.22,0.113,0.9,0.1,0.0,33.74,778800000777,35.0,35.0,1,30,2.0,0,0,0.0,0,240.0,0.0212,2450,2.3219,6,0.4588,0.7,0.0118,0.0,0.4,0.32,3,0,0,0,1
0.22,0.113,0.83,0.1,0.07,53.59,1549223334881,45.0,45.0,1,45,1.5,0,0,0.0,0,308.5714,0.0296,4050,2.3219,4,0.5653,0.2,0.0096,0.0,0.63,0.48,4,0,0,0,1
0.22,0.113,0.72,0.28,0.0,72.21,1473265518713,35.0,35.0,1,15,2.5,0,0,0.0,0,180.0,0.0204,2450,2.3219,2,0.4771,0.0,0.0,1.0,0.47,0.46,9,0,0,0,1
0.22,0.113,0.75,0.25,0.0,42.24,939921429510,35.0,35.0,1,70,2.0,0,0,0.0,0,135.0,0.0263,2450,2.3219,10,0.2939,0.5,0.0087,0.0,0.62,0.53,9,0,0,0,1
0.22,0.113,1.0,0.0,0.0,56.01,1010151725146,45.0,45.0,1,45,2.0,0,0,0.0,0,180.0,0.0316,4050,2.3219,9,0.4791,0.6,0.0131,0.0,0.0,0.0,0,0,0,0,1
0.22,0.113,0.9,0.1,0.0,52.05,1355840001354,45.0,45.0,1,70,2.5,0,0,0.0,0,317.6471,0.0365,4050,2.3219,6,0.3631,0.3,0.0107,0.0,0.44,0.7,4,0,0,0,1
0.22,0.113,0.41,0.59,0.0,35.38,771596552494,35.0,35.0,1,15,1.5,0,0,0.0,0,180.0,0.0139,2450,2.3219,4,0.6769,1.0,0.0065,0.0,0.6,0.61,9,0,0,0,1
0.22,0.113,0.55,0.45,0.0,58.43,1370820691024,45.0,45.0,1,15,2.5,0,0,0.0,0,180.0,0.0242,4050,2.3219,4,0.6144,0.5,0.0069,0.0,0.48,0.66,12,0,0,0,1
0.22,0.113,0.83,0.17,0.0,24.66,523144828106,25.0,25.0,1,15,2.0,0,0,0.0,0,180.0,0.0106,1250,2.3219,2,0.5264,0.0,0.0,1.0,0.35,0.54,4,0,0,0,1
0.22,0.113,0.67,0.33,0.0,43.62,873066667537,35.0,35.0,1,70,1.5,0,0,0.0,0,221.5385,0.0235,2450,2.3219,10,0.409,0.4,0.0127,0.0,0.56,0.51,9,0,0,0,1
0.22,0.113,1.0,0.0,0.0,45.09,858906667524,35.0,35.0,1,30,2.0,0,0,0.0,0,360.0,0.0216,2450,2.3219,3,0.4604,0.7,0.0232,0.0,0.0,0.0,0,0,0,0,1
0.22,0.113,0.07,0.83,0.1,10.8,5488316672151,25.0,25.0,1,45,1.5,0,0,0.0,0,60.0,0.013,1250,2.3219,6,0.4144,0.3,0.0063,0.0,0.42,0.57,6,0,0,0,1
0.22,0.113,0.83,0.17,0.0,33.95,741826667406,35.0,35.0,1,70,2.5,0,0,0.0,0,360.0,0.0266,2450,2.3219,1,0.2696,0.0,0.0,1.0,0.57,0.76,9,0,0,0,1
0.22,0.113,0.63,0.37,0.0,104.29,1611743334942,45.0,45.0,1,15,2.0,0,0,0.0,0,120.0,0.0245,4050,2.3219,3,0.6188,1.0,0.0043,0.0,0.59,0.54,12,0,0,0,1
0.22,0.113,0.93,0.07,0.0,55.41,889733334220,35.0,35.0,1,70,2.5,0,0,0.0,0,90.0,0.0273,2450,2.3219,4,0.2255,1.0,0.0096,0.0,0.5,0.5,3,0,0,0,1
0.22,0.113,0.53,0.47,0.0,70.22,1515560001514,45.0,45.0,1,30,2.5,0,0,0.0,0,154.2857,0.0303,4050,2.3219,6,0.4969,0.7,0.0085,0.0,0.68,0.5,12,0,0,0,1
0.22,0.113,0.9,0.1,0.0,45.92,1022400001022,35.0,35.0,1,45,2.5,0,0,0.0,0,360.0,0.024,2450,2.3219,3,0.3361,0.7,0.0085,0.0,0.46,0.45,6,0,0,0,1
0.22,0.113,0.93,0.07,0.0,36.61,732627586938,25.0,25.0,1,30,2.5,0,0,0.0,0,90.0,0.0142,1250,2.3219,4,0.3296,1.0,0.0051,0.0,0.55,0.92,2,0,0,0,1
0.22,0.113,0.6,0.4,0.0,64.81,1091263334423,45.0,45.0,1,15,2.0,0,0,0.0,0,360.0,0.019,4050,2.3219,2,0.722,1.0,0.0036,0.0,0.63,0.48,8,0,0,0,1
0.22,0.113,0.03,0.0,0.97,6.61,6005362074969,25.0,25.0,1,30,1.5,0,0,0.0,0,240.0,0.0123,1250,2.3219,3,0.4548,0.7,0.0057,0.0,0.0,0.0,0,0,0,0,1
0.22,0.113,0.86,0.14,0.0,66.26,1291613794394,45.0,45.0,1,45,2.0,0,0,0.0,0,288.0,0.0317,4050,2.3219,7,0.4758,0.6,0.0076,0.0,0.39,0.63,8,0,0,0,1
0.22,0.113,0.66,0.34,0.0,82.3,1601665518842,45.0,45.0,1,30,2.0,0,0,0.0,0,240.0,0.0234,4050,2.3219,3,0.6227,1.0,0.0021,0.0,0.55,0.49,12,0,0,0,1
0.22,0.113,0.47,0.53,0.0,54.48,1176360001173,35.0,35.0,1,15,1.5,0,0,0.0,0,360.0,0.0149,2450,2.3219,1,0.6561,0.0,0.0,1.0,0.5,0.58,6,0,0,0,1
