average_linear_velocity,average_obstalce_size,number_dynamic_obstacles
0.49,0.69,12
0.0,0.0,0
0.76,0.38,6
0.43,0.49,4
0.0,0.0,0
0.0,0.0,0
0.6,0.45,6
0.0,0.0,0
0.59,0.56,12
0.37,0.53,2
0.0,0.0,0
0.56,0.55,2
0.16,0.36,2
0.0,0.0,0
0.31,0.34,6
0.41,0.6,2
0.39,0.55,4
0.49,0.46,6
0.8,0.6,6
0.7,0.61,8
0.41,0.28,2
0.41,0.33,6
0.61,0.87,2
0.75,0.54,12
0.56,0.59,12
0.92,0.55,2
0.59,0.6,12
0.69,0.52,4
0.51,0.53,4
0.57,0.71,8
0.52,0.62,2
0.0,0.0,0
0.0,0.0,0
0.63,0.55,6
0.75,0.49,3
0.0,0.0,0
0.59,0.69,2
0.47,0.56,12
0.73,0.62,8
0.62,0.36,4
0.35,0.91,3
0.69,0.48,6
0.63,0.58,8
0.42,0.51,9
0.36,0.69,2
0.5,0.56,2
0.38,0.66,4
0.28,0.47,3
0.55,0.48,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.56,0.65,3
0.48,0.56,12
0.54,0.53,9
0.58,0.44,4
0.66,0.86,2
0.0,0.0,0
0.55,0.4,9
0.46,0.53,4
0.49,0.48,8
0.22,0.39,2
0.5,0.56,3
0.61,0.56,8
0.44,0.5,12
0.71,0.43,4
0.43,0.69,3
0.56,0.32,3
0.0,0.0,0
0.8,0.56,4
0.91,0.52,4
0.61,0.56,8
0.0,0.0,0
0.58,0.35,6
0.0,0.0,0
0.49,0.58,6
0.6,0.57,9
0.38,0.66,4
0.52,0.66,8
0.7,0.5,12
0.38,0.8,3
0.0,0.0,0
0.63,0.71,2
0.0,0.0,0
0.34,0.49,6
0.0,0.0,0
0.57,0.52,6
0.0,0.0,0
0.92,0.46,2
0.61,0.63,8
0.49,0.42,3
0.28,0.55,3
0.0,0.0,0
0.61,0.46,12
0.4,0.58,3
0.37,0.56,3
0.41,0.54,9
0.0,0.0,0
0.67,0.43,4
