number_dynamic_obstacles,robot_radius,average_linear_velocity,average_obstalce_size,num_static_obstacles,corridor_width,distance_avg,distance_variance,robot_max_speed
6,0.113,0.71,0.37,0,1.5,0.0221,0.0,0.22
12,0.113,0.53,0.65,0,2.5,0.0,1.0,0.22
12,0.625,0.48,0.55,0,2.0,0.006,0.0,1.1
4,0.625,0.39,0.48,0,1.5,0.0082,0.0,1.1
2,0.113,0.61,0.54,0,2.5,0.0,1.0,0.22
9,0.625,0.41,0.5,0,2.5,0.009,0.0,1.1
4,0.113,0.66,0.39,0,1.5,0.0095,0.0,0.22
12,0.113,0.56,0.51,0,1.5,0.0108,0.0,0.22
4,0.625,0.65,0.63,0,1.5,0.0,1.0,1.1
12,0.267,0.74,0.52,0,2.0,0.0119,0.0,2.0
6,0.625,0.44,0.51,0,1.5,0.0657,0.0001,1.1
4,0.113,0.83,0.4,0,1.5,0.007,0.0,0.22
6,0.267,0.65,0.68,0,2.0,0.0,1.0,2.0
3,0.267,0.57,0.49,0,1.5,0.0,1.0,2.0
8,0.267,0.74,0.6,0,2.0,0.0056,0.0,2.0
0,0.267,0.0,0.0,0,1.5,0.0001,0.0,2.0
0,0.625,0.0,0.0,0,2.0,0.0064,0.0,1.1
2,0.267,0.63,0.52,0,2.5,0.0037,0.0,2.0
6,0.113,0.45,0.48,0,1.5,0.0258,0.0,0.22
3,0.267,0.93,0.6,0,1.5,0.0102,0.0,2.0
0,0.267,0.0,0.0,0,2.5,0.0103,0.0,2.0
3,0.267,0.51,0.6,0,2.0,0.0001,0.0,2.0
9,0.625,0.59,0.5,0,1.5,0.012,0.0,1.1
8,0.267,0.47,0.65,0,1.5,0.0227,0.0,2.0
2,0.267,0.54,0.81,0,2.0,0.0,1.0,2.0
8,0.625,0.56,0.63,0,2.5,0.0072,0.0,1.1
0,0.625,0.0,0.0,0,2.0,0.0101,0.0,1.1
4,0.625,0.39,0.37,0,2.0,0.0072,0.0,1.1
