width,average_obstalce_size,robot_max_speed,occupancy_ratio,height,iterations,number_dynamic_obstacles,distance_variance,num_obs_cv2,corridor_width,num_static_obstacles,distance_normalized,distance_avg,average_linear_velocity,robot_radius
25.0,0.49,0.22,0.6364,25.0,0,6,0.0,9,0.0,30,0.4,0.0109,0.57,0.113
35.0,0.44,0.22,0.1469,35.0,0,9,0.0,21,0.0,20,0.6,0.0135,0.6,0.113
45.0,0.49,0.22,0.2207,45.0,0,4,0.0,18,0.0,20,0.4,0.0124,0.6,0.113
35.0,0.68,0.22,0.15,35.0,0,6,0.0,24,0.0,20,0.6,0.0115,0.48,0.113
45.0,0.39,0.22,0.2314,45.0,0,8,0.0,14,0.0,10,0.6,0.0127,0.46,0.113
45.0,0.0,0.22,0.2279,45.0,0,0,0.0,18,0.0,20,0.6,0.0129,0.0,0.113
45.0,0.0,0.22,0.4658,45.0,0,0,0.0,5,0.0,30,0.6,0.0114,0.0,0.113
35.0,0.0,0.22,0.1069,35.0,0,0,0.0,16,0.0,10,0.5,0.0126,0.0,0.113
25.0,0.59,0.22,0.0784,25.0,0,4,0.0,2,0.0,0,1.0,0.0004,0.91,0.113
45.0,0.49,0.22,0.4722,45.0,0,12,0.0,10,0.0,30,0.7,0.0139,0.52,0.113
25.0,0.0,0.22,0.6696,25.0,0,0,0.0,5,0.0,40,0.6,0.0105,0.0,0.113
35.0,0.51,0.22,0.0563,35.0,0,9,1.0,2,0.0,0,0.0,0.0,0.44,0.113
45.0,0.65,0.22,0.044,45.0,0,4,1.0,2,0.0,0,0.0,0.0,0.58,0.113
25.0,0.54,0.22,0.0784,25.0,0,4,0.0,2,0.0,0,1.0,0.0004,0.47,0.113
45.0,0.56,0.22,0.1049,45.0,0,8,0.0,30,0.0,20,0.5,0.0145,0.7,0.113
35.0,0.0,0.22,0.0563,35.0,0,0,1.0,2,0.0,0,0.0,0.0,0.0,0.113
25.0,0.23,0.22,0.6308,25.0,0,2,0.0,6,0.0,30,0.5,0.0129,0.63,0.113
35.0,0.52,0.22,0.0563,35.0,0,9,1.0,2,0.0,0,0.0,0.0,0.48,0.113
35.0,0.54,0.22,0.4182,35.0,0,3,0.0,10,0.0,30,0.5,0.0263,0.45,0.113
45.0,0.54,0.22,0.0717,45.0,0,4,0.0,18,0.0,10,0.4,0.0139,0.61,0.113
45.0,0.57,0.22,0.132,45.0,0,8,0.0,49,0.0,30,0.5,0.0152,0.57,0.113
45.0,0.0,0.22,0.1315,45.0,0,0,0.0,33,0.0,30,0.6,0.0139,0.0,0.113
45.0,0.59,0.22,0.1305,45.0,0,12,0.0,45,0.0,30,0.5,0.0142,0.66,0.113
25.0,0.51,0.22,0.5624,25.0,15,2,0.0,2,2.0,0,1.0,0.0006,0.64,0.113
35.0,0.0,0.22,0.4241,35.0,45,0,0.0,7,2.0,0,0.3,0.0089,0.0,0.113
45.0,0.57,0.22,0.3488,45.0,70,12,0.0,2,2.5,0,1.0,0.0135,0.59,0.113
35.0,0.5,0.22,0.3867,35.0,70,9,0.0,8,1.5,0,0.8,0.0079,0.57,0.113
45.0,0.35,0.22,0.5548,45.0,45,8,0.0,7,1.5,0,0.4,0.0137,0.61,0.113
45.0,0.0,0.22,0.6138,45.0,30,0,0.0,7,1.5,0,0.6,0.0099,0.0,0.113
45.0,0.49,0.22,0.5235,45.0,45,8,0.0,11,1.5,0,0.6,0.0123,0.52,0.113
35.0,0.0,0.22,0.4214,35.0,70,0,0.0,9,1.5,0,0.4,0.0064,0.0,0.113
25.0,0.0,0.22,0.3912,25.0,45,0,0.0,4,1.5,0,1.0,0.0082,0.0,0.113
35.0,0.0,0.22,0.4414,35.0,45,0,0.0,6,2.0,0,0.8,0.009,0.0,0.113
25.0,0.46,0.22,0.4568,25.0,15,6,0.0,3,2.5,0,1.0,0.0049,0.57,0.113
25.0,0.55,0.22,0.4624,25.0,30,6,0.0,4,2.0,0,0.5,0.0052,0.52,0.113
35.0,0.61,0.22,0.4714,35.0,45,6,0.0,7,1.5,0,0.7,0.0095,0.66,0.113
25.0,0.26,0.22,0.404,25.0,45,2,0.0,6,1.5,0,0.7,0.0091,0.68,0.113
45.0,0.0,0.22,0.6162,45.0,30,0,0.0,4,1.5,0,0.5,0.0059,0.0,0.113
45.0,0.41,0.22,0.4864,45.0,45,4,0.0,3,2.0,0,0.3,0.0309,0.65,0.113
45.0,0.0,0.22,0.5802,45.0,45,0,0.0,7,1.5,0,0.4,0.0091,0.0,0.113
35.0,0.0,0.22,0.3365,35.0,70,0,0.0,3,2.0,0,0.7,0.0044,0.0,0.113
25.0,0.0,0.22,0.2636,25.0,70,0,0.0,4,1.5,0,0.8,0.0083,0.0,0.113
45.0,0.57,0.22,0.639,45.0,30,12,0.0,4,1.5,0,1.0,0.0088,0.51,0.113
45.0,0.59,0.22,0.3951,45.0,45,4,0.0,12,2.5,0,0.4,0.0205,0.35,0.113
25.0,0.0,0.22,0.4232,25.0,30,0,0.0,8,1.5,0,0.5,0.0097,0.0,0.113
45.0,0.39,0.22,0.5131,45.0,30,12,0.0,6,2.5,0,0.3,0.0105,0.55,0.113
45.0,0.57,0.22,0.7409,45.0,15,4,1.0,1,1.5,0,0.0,0.0,0.58,0.113
25.0,0.4,0.22,0.288,25.0,30,4,0.0,4,2.5,0,0.5,0.0071,0.43,0.113
25.0,0.0,0.22,0.2864,25.0,70,0,0.0,5,1.5,0,0.6,0.0078,0.0,0.113
25.0,0.51,0.22,0.4036,25.0,30,6,1.0,2,1.5,0,0.0,0.0,0.63,0.113
25.0,0.68,0.22,0.2288,25.0,70,6,1.0,1,2.0,0,0.0,0.0,0.51,0.113
25.0,0.38,0.22,0.3888,25.0,30,4,0.0,8,1.5,0,0.5,0.0083,0.51,0.113
45.0,0.71,0.22,0.2712,45.0,70,8,0.0,3,2.5,0,0.7,0.0083,0.55,0.113
25.0,0.0,0.22,0.356,25.0,45,0,0.0,7,1.5,0,0.6,0.011,0.0,0.113
25.0,0.55,0.22,0.5424,25.0,15,4,0.0,2,2.0,0,1.0,0.0002,0.58,0.113
25.0,0.2,0.22,0.2472,25.0,70,2,1.0,2,2.0,0,0.0,0.0,0.47,0.113
45.0,0.56,0.22,0.4546,45.0,45,12,0.0,6,2.5,0,0.5,0.0257,0.51,0.113
25.0,0.55,0.22,0.3884,25.0,15,6,0.0,3,2.5,0,1.0,0.0077,0.62,0.113
35.0,0.0,0.22,0.2284,35.0,70,0,0.0,4,2.5,0,0.5,0.005,0.0,0.113
45.0,0.59,0.22,0.7521,45.0,15,12,0.0,2,1.5,0,1.0,0.0091,0.5,0.113
45.0,0.27,0.22,0.392,45.0,70,4,0.0,8,2.0,0,0.5,0.0103,0.57,0.113
45.0,0.47,0.22,0.3922,45.0,70,8,0.0,14,2.0,0,0.6,0.0166,0.56,0.113
25.0,0.48,0.22,0.4296,25.0,15,6,0.0,4,2.5,0,0.5,0.0045,0.75,0.113
45.0,0.0,0.22,0.6152,45.0,30,0,0.0,3,1.5,0,1.0,0.0045,0.0,0.113
35.0,0.0,0.22,0.6857,35.0,15,0,0.0,4,1.5,0,1.0,0.0092,0.0,0.113
25.0,0.0,0.22,0.3952,25.0,45,0,0.0,5,1.5,0,0.6,0.0075,0.0,0.113
35.0,0.48,0.22,0.3849,35.0,45,3,0.0,8,2.0,0,0.5,0.0129,0.54,0.113
45.0,0.66,0.22,0.5147,45.0,30,8,0.0,8,2.0,0,0.6,0.0087,0.61,0.113
25.0,0.5,0.22,0.5808,25.0,15,6,0.0,2,2.5,0,1.0,0.0008,0.51,0.113
45.0,0.5,0.22,0.7657,45.0,15,12,1.0,1,1.5,0,0.0,0.0,0.62,0.113
35.0,0.0,0.22,0.4743,35.0,30,0,0.0,6,2.5,0,0.3,0.0074,0.0,0.113
35.0,0.0,0.22,0.4563,35.0,45,0,0.0,5,1.5,0,0.4,0.0128,0.0,0.113
35.0,0.0,0.22,0.6261,35.0,15,0,0.0,4,2.0,0,1.0,0.0063,0.0,0.113
45.0,0.0,0.22,0.7678,45.0,15,0,1.0,2,1.5,0,0.0,0.0,0.0,0.113
35.0,0.48,0.22,0.6859,35.0,15,9,1.0,1,1.5,0,0.0,0.0,0.47,0.113
45.0,0.0,0.22,0.6643,45.0,30,0,1.0,2,1.5,0,0.0,0.0,0.0,0.113
45.0,0.44,0.22,0.3943,45.0,70,8,0.0,10,2.0,0,0.4,0.0097,0.46,0.113
25.0,0.79,0.22,0.2572,25.0,70,4,1.0,2,2.0,0,0.0,0.0,0.22,0.113
35.0,0.6,0.22,0.4937,35.0,45,6,0.0,2,1.5,0,1.0,0.01,0.45,0.113
25.0,0.56,0.22,0.5484,25.0,15,4,0.0,3,2.0,0,1.0,0.0064,0.71,0.113
25.0,0.7,0.22,0.3804,25.0,30,6,1.0,1,2.0,0,0.0,0.0,0.4,0.113
35.0,0.56,0.22,0.3863,35.0,30,3,0.0,6,2.5,0,0.5,0.0109,0.82,0.113
45.0,0.0,0.22,0.6901,45.0,15,0,1.0,1,2.0,0,0.0,0.0,0.0,0.113
45.0,0.53,0.22,0.4877,45.0,70,8,0.0,3,1.5,0,1.0,0.0106,0.61,0.113
