width,height,number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity,occupancy_ratio,entropy
45.0,45.0,12,0.39,4050,0.55,0.5131,0.0294
45.0,45.0,4,0.57,4050,0.58,0.7409,0.018
25.0,25.0,4,0.4,1250,0.43,0.288,0.0145
25.0,25.0,0,0.0,1250,0.0,0.2864,0.015
25.0,25.0,6,0.51,1250,0.63,0.4036,0.0131
25.0,25.0,6,0.68,1250,0.51,0.2288,0.0154
25.0,25.0,4,0.38,1250,0.51,0.3888,0.014
45.0,45.0,8,0.71,4050,0.55,0.2712,0.0406
25.0,25.0,0,0.0,1250,0.0,0.356,0.0143
25.0,25.0,4,0.55,1250,0.58,0.5424,0.01
25.0,25.0,2,0.2,1250,0.47,0.2472,0.0151
45.0,45.0,12,0.56,4050,0.51,0.4546,0.0319
25.0,25.0,6,0.55,1250,0.62,0.3884,0.0128
35.0,35.0,0,0.0,2450,0.0,0.2284,0.0275
45.0,45.0,12,0.59,4050,0.5,0.7521,0.0176
45.0,45.0,4,0.27,4050,0.57,0.392,0.0352
45.0,45.0,8,0.47,4050,0.56,0.3922,0.036
25.0,25.0,6,0.48,1250,0.75,0.4296,0.0123
45.0,45.0,0,0.0,4050,0.0,0.6152,0.0257
35.0,35.0,0,0.0,2450,0.0,0.6857,0.0143
25.0,25.0,0,0.0,1250,0.0,0.3952,0.0135
35.0,35.0,3,0.48,2450,0.54,0.3849,0.0232
45.0,45.0,8,0.66,4050,0.61,0.5147,0.0304
25.0,25.0,6,0.5,1250,0.51,0.5808,0.0095
45.0,45.0,12,0.5,4050,0.62,0.7657,0.0171
35.0,35.0,0,0.0,2450,0.0,0.4743,0.0203
35.0,35.0,0,0.0,2450,0.0,0.4563,0.022
35.0,35.0,0,0.0,2450,0.0,0.6261,0.0153
45.0,45.0,0,0.0,4050,0.0,0.7678,0.0168
35.0,35.0,9,0.48,2450,0.47,0.6859,0.0137
45.0,45.0,0,0.0,4050,0.0,0.6643,0.023
45.0,45.0,8,0.44,4050,0.46,0.3943,0.0352
25.0,25.0,4,0.79,1250,0.22,0.2572,0.0151
35.0,35.0,6,0.6,2450,0.45,0.4937,0.0215
25.0,25.0,4,0.56,1250,0.71,0.5484,0.01
25.0,25.0,6,0.7,1250,0.4,0.3804,0.0133
35.0,35.0,3,0.56,2450,0.82,0.3863,0.0233
45.0,45.0,0,0.0,4050,0.0,0.6901,0.0206
45.0,45.0,8,0.53,4050,0.61,0.4877,0.0322
35.0,35.0,3,0.34,2450,0.69,0.2257,0.0272
25.0,25.0,6,0.7,1250,0.55,0.6192,0.0092
25.0,25.0,6,0.51,1250,0.64,0.3592,0.0138
35.0,35.0,3,0.66,2450,0.42,0.4331,0.022
25.0,25.0,0,0.0,1250,0.0,0.3896,0.0135
45.0,45.0,4,0.88,4050,0.68,0.7569,0.0168
45.0,45.0,12,0.58,4050,0.61,0.5423,0.0294
35.0,35.0,0,0.0,2450,0.0,0.3724,0.0246
25.0,25.0,4,0.41,1250,0.47,0.4744,0.012
35.0,35.0,0,0.0,2450,0.0,0.5049,0.0202
45.0,45.0,4,0.56,4050,0.52,0.414,0.0344
35.0,35.0,3,0.73,2450,0.71,0.4518,0.0211
35.0,35.0,3,0.59,2450,0.59,0.2714,0.0272
25.0,25.0,6,0.5,1250,0.36,0.3552,0.0141
35.0,35.0,0,0.0,2450,0.0,0.512,0.0195
45.0,45.0,0,0.0,4050,0.0,0.2863,0.0401
35.0,35.0,3,0.55,2450,0.29,0.6129,0.0164
25.0,25.0,0,0.0,1250,0.0,0.284,0.0147
45.0,45.0,8,0.62,4050,0.39,0.679,0.0218
35.0,35.0,3,0.63,2450,0.36,0.532,0.0188
35.0,35.0,6,0.44,2450,0.58,0.3892,0.024
35.0,35.0,0,0.0,2450,0.0,0.4496,0.0228
35.0,35.0,6,0.79,2450,0.7,0.3324,0.025
25.0,25.0,2,0.62,1250,0.76,0.2844,0.0152
35.0,35.0,3,0.44,2450,0.38,0.5165,0.0204
45.0,45.0,8,0.41,4050,0.47,0.3701,0.0375
35.0,35.0,6,0.53,2450,0.51,0.5557,0.0179
35.0,35.0,0,0.0,2450,0.0,0.4282,0.0227
45.0,45.0,8,0.56,4050,0.55,0.4512,0.0341
25.0,25.0,2,0.5,1250,0.65,0.352,0.0138
45.0,45.0,8,0.51,4050,0.66,0.2996,0.0382
45.0,45.0,4,0.47,4050,0.46,0.6468,0.0237
25.0,25.0,0,0.0,1250,0.0,0.5032,0.011
45.0,45.0,0,0.0,4050,0.0,0.6828,0.0209
45.0,45.0,4,0.45,4050,0.61,0.3602,0.0366
35.0,35.0,6,0.47,2450,0.4,0.2492,0.0275
45.0,45.0,0,0.0,4050,0.0,0.4419,0.0329
35.0,35.0,6,0.38,2450,0.47,0.5024,0.02
25.0,25.0,4,0.59,1250,0.5,0.3584,0.0137
35.0,35.0,9,0.48,2450,0.39,0.4312,0.0214
45.0,45.0,12,0.51,4050,0.51,0.4452,0.0323
35.0,35.0,3,0.55,2450,0.57,0.2271,0.0272
35.0,35.0,3,0.75,2450,0.43,0.3173,0.0255
25.0,25.0,4,0.6,1250,0.34,0.2592,0.0149
45.0,45.0,8,0.42,4050,0.62,0.4381,0.0347
35.0,35.0,3,0.57,2450,0.49,0.3235,0.0258
25.0,25.0,4,0.37,1250,0.46,0.2492,0.0151
45.0,45.0,8,0.62,4050,0.51,0.4567,0.0336
35.0,35.0,3,0.3,2450,0.73,0.4039,0.0228
35.0,35.0,6,0.55,2450,0.41,0.6643,0.015
35.0,35.0,3,0.59,2450,0.69,0.2384,0.0279
45.0,45.0,8,0.69,4050,0.58,0.4847,0.0312
35.0,35.0,9,0.54,2450,0.57,0.25,0.0271
25.0,25.0,0,0.0,1250,0.0,0.402,0.0129
45.0,45.0,8,0.55,4050,0.73,0.6483,0.0232
25.0,25.0,4,0.71,1250,0.39,0.2472,0.015
45.0,45.0,4,0.4,4050,0.46,0.5727,0.0264
45.0,45.0,8,0.63,4050,0.48,0.3051,0.0393
35.0,35.0,6,0.49,2450,0.59,0.2798,0.0268
25.0,25.0,4,0.62,1250,0.72,0.5668,0.0098
25.0,25.0,2,0.69,1250,0.52,0.3676,0.0139
45.0,45.0,12,0.67,4050,0.42,0.3957,0.036
25.0,25.0,2,0.88,1250,0.52,0.4516,0.0124
35.0,35.0,3,0.55,2450,0.57,0.5037,0.0197
35.0,35.0,0,0.0,2450,0.0,0.6476,0.0151
25.0,25.0,2,0.58,1250,0.46,0.4832,0.011
25.0,25.0,4,0.51,1250,0.7,0.2964,0.0148
25.0,25.0,4,0.67,1250,0.62,0.3112,0.0144
45.0,45.0,8,0.46,4050,0.56,0.4767,0.0314
45.0,45.0,12,0.46,4050,0.4,0.3585,0.0365
25.0,25.0,6,0.45,1250,0.69,0.3676,0.014
25.0,25.0,4,0.39,1250,0.23,0.222,0.0157
25.0,25.0,0,0.0,1250,0.0,0.2344,0.0155
45.0,45.0,8,0.43,4050,0.66,0.2514,0.0415
35.0,35.0,0,0.0,2450,0.0,0.5865,0.0176
45.0,45.0,4,0.63,4050,0.57,0.5973,0.0254
35.0,35.0,9,0.64,2450,0.64,0.3153,0.0252
45.0,45.0,0,0.0,4050,0.0,0.5022,0.0299
25.0,25.0,4,0.75,1250,0.66,0.248,0.0155
45.0,45.0,12,0.51,4050,0.71,0.4836,0.0329
25.0,25.0,6,0.61,1250,0.63,0.3576,0.0133
35.0,35.0,3,0.56,2450,0.54,0.398,0.0239
25.0,25.0,4,0.56,1250,0.46,0.572,0.0098
45.0,45.0,12,0.51,4050,0.48,0.4257,0.0338
45.0,45.0,0,0.0,4050,0.0,0.5674,0.0284
35.0,35.0,0,0.0,2450,0.0,0.5641,0.017
35.0,35.0,0,0.0,2450,0.0,0.4755,0.0206
35.0,35.0,3,0.51,2450,0.69,0.2304,0.027
45.0,45.0,0,0.0,4050,0.0,0.6919,0.0203
25.0,25.0,6,0.5,1250,0.41,0.2056,0.0156
35.0,35.0,9,0.49,2450,0.56,0.4241,0.0218
35.0,35.0,6,0.56,2450,0.73,0.5098,0.0205
35.0,35.0,6,0.51,2450,0.32,0.409,0.0229
45.0,45.0,12,0.53,4050,0.58,0.5699,0.027
45.0,45.0,12,0.44,4050,0.66,0.5422,0.0287
35.0,35.0,9,0.56,2450,0.46,0.4737,0.0209
35.0,35.0,6,0.52,2450,0.44,0.318,0.0252
25.0,25.0,4,0.45,1250,0.61,0.3684,0.0141
45.0,45.0,4,0.6,4050,0.35,0.5681,0.027
25.0,25.0,0,0.0,1250,0.0,0.3984,0.0123
45.0,45.0,8,0.61,4050,0.39,0.7036,0.0194
45.0,45.0,4,0.38,4050,0.55,0.3232,0.0386
25.0,25.0,4,0.4,1250,0.54,0.302,0.0147
35.0,35.0,3,0.61,2450,0.28,0.4663,0.0208
35.0,35.0,0,0.0,2450,0.0,0.2578,0.0272
35.0,35.0,6,0.65,2450,0.63,0.321,0.025
45.0,45.0,8,0.4,4050,0.54,0.5475,0.028
25.0,25.0,0,0.0,1250,0.0,0.3144,0.0138
25.0,25.0,0,0.0,1250,0.0,0.2996,0.0142
45.0,45.0,12,0.52,4050,0.57,0.5368,0.0296
45.0,45.0,4,0.57,4050,0.47,0.6322,0.0241
45.0,45.0,8,0.37,4050,0.46,0.4705,0.0325
35.0,35.0,3,0.4,2450,0.78,0.5541,0.0184
45.0,45.0,4,0.58,4050,0.66,0.541,0.0299
35.0,35.0,9,0.45,2450,0.6,0.5853,0.0166
35.0,35.0,6,0.37,2450,0.58,0.5788,0.0175
45.0,45.0,0,0.0,4050,0.0,0.6474,0.0235
35.0,35.0,9,0.47,2450,0.48,0.3076,0.0255
35.0,35.0,3,0.69,2450,0.9,0.6729,0.0145
35.0,35.0,6,0.57,2450,0.42,0.3206,0.025
35.0,35.0,0,0.0,2450,0.0,0.2141,0.0276
35.0,35.0,6,0.56,2450,0.58,0.2443,0.0266
35.0,35.0,0,0.0,2450,0.0,0.2408,0.0269
45.0,45.0,0,0.0,4050,0.0,0.4723,0.0319
35.0,35.0,9,0.53,2450,0.57,0.3249,0.0246
45.0,45.0,0,0.0,4050,0.0,0.5474,0.0288
25.0,25.0,0,0.0,1250,0.0,0.3124,0.0141
25.0,25.0,6,0.42,1250,0.54,0.234,0.015
35.0,35.0,6,0.72,2450,0.53,0.7049,0.0134
25.0,25.0,6,0.78,1250,0.63,0.2768,0.0146
25.0,25.0,0,0.0,1250,0.0,0.4208,0.013
45.0,45.0,12,0.73,4050,0.56,0.7519,0.0169
25.0,25.0,4,0.56,1250,0.74,0.3292,0.014
45.0,45.0,4,0.64,4050,0.65,0.303,0.0381
35.0,35.0,0,0.0,2450,0.0,0.3533,0.0244
35.0,35.0,3,0.52,2450,0.62,0.4155,0.0233
25.0,25.0,4,0.59,1250,0.62,0.348,0.0141
45.0,45.0,0,0.0,4050,0.0,0.3175,0.0382
25.0,25.0,4,0.66,1250,0.85,0.4828,0.0113
25.0,25.0,2,0.78,1250,0.61,0.25,0.0152
25.0,25.0,2,0.86,1250,0.22,0.482,0.0116
45.0,45.0,12,0.62,4050,0.55,0.581,0.0268
45.0,45.0,8,0.56,4050,0.56,0.4033,0.0351
25.0,25.0,2,0.26,1250,0.57,0.2636,0.0156
45.0,45.0,8,0.5,4050,0.59,0.551,0.0277
25.0,25.0,6,0.7,1250,0.61,0.2424,0.0156
35.0,35.0,0,0.0,2450,0.0,0.3449,0.0245
35.0,35.0,6,0.49,2450,0.59,0.4886,0.0204
35.0,35.0,0,0.0,2450,0.0,0.3673,0.0248
35.0,35.0,6,0.78,2450,0.64,0.3649,0.0254
25.0,25.0,2,0.7,1250,0.94,0.3372,0.0139
45.0,45.0,0,0.0,4050,0.0,0.7427,0.0184
25.0,25.0,0,0.0,1250,0.0,0.2952,0.015
25.0,25.0,2,0.56,1250,0.53,0.5276,0.0111
45.0,45.0,12,0.71,4050,0.59,0.274,0.0403
25.0,25.0,0,0.0,1250,0.0,0.5256,0.0104
35.0,35.0,6,0.51,2450,0.57,0.3631,0.0255
25.0,25.0,4,0.56,1250,0.55,0.4076,0.0129
45.0,45.0,8,0.63,4050,0.54,0.3053,0.0393
25.0,25.0,2,0.45,1250,0.48,0.4492,0.012
45.0,45.0,8,0.67,4050,0.45,0.6053,0.026
35.0,35.0,6,0.47,2450,0.81,0.3888,0.023
45.0,45.0,12,0.6,4050,0.49,0.671,0.0219
35.0,35.0,0,0.0,2450,0.0,0.3714,0.0247
45.0,45.0,0,0.0,4050,0.0,0.4705,0.0316
25.0,25.0,4,0.52,1250,0.54,0.4748,0.0117
45.0,45.0,0,0.0,4050,0.0,0.3574,0.0371
25.0,25.0,6,0.66,1250,0.4,0.3568,0.0137
45.0,45.0,0,0.0,4050,0.0,0.29,0.0391
25.0,25.0,4,0.52,1250,0.47,0.308,0.0143
45.0,45.0,4,0.65,4050,0.73,0.4565,0.0338
25.0,25.0,2,0.77,1250,0.59,0.3252,0.0146
45.0,45.0,8,0.51,4050,0.6,0.367,0.0368
45.0,45.0,8,0.4,4050,0.62,0.4349,0.0344
45.0,45.0,8,0.55,4050,0.53,0.6493,0.0234
25.0,25.0,2,0.41,1250,0.26,0.2316,0.0155
35.0,35.0,9,0.55,2450,0.61,0.4751,0.0209
35.0,35.0,0,0.0,2450,0.0,0.4443,0.0218
45.0,45.0,8,0.66,4050,0.48,0.5519,0.0285
35.0,35.0,9,0.45,2450,0.51,0.5618,0.0172
45.0,45.0,8,0.62,4050,0.49,0.3907,0.0352
45.0,45.0,4,0.59,4050,0.72,0.403,0.0357
25.0,25.0,0,0.0,1250,0.0,0.4936,0.0115
25.0,25.0,4,0.58,1250,0.29,0.384,0.0128
45.0,45.0,12,0.58,4050,0.62,0.47,0.0336
35.0,35.0,0,0.0,2450,0.0,0.5924,0.0167
45.0,45.0,0,0.0,4050,0.0,0.2931,0.0398
35.0,35.0,9,0.55,2450,0.68,0.4371,0.0228
45.0,45.0,0,0.0,4050,0.0,0.4053,0.0354
45.0,45.0,4,0.46,4050,0.55,0.3752,0.0363
45.0,45.0,0,0.0,4050,0.0,0.4375,0.0322
35.0,35.0,3,0.32,2450,0.57,0.3271,0.0251
35.0,35.0,0,0.0,2450,0.0,0.2886,0.0257
45.0,45.0,12,0.49,4050,0.5,0.3238,0.0369
45.0,45.0,8,0.59,4050,0.38,0.4242,0.0347
