robot_max_speed,robot_radius,success_rate,collision_rate,average_collision_amount,timeout_rate,timeout_collision_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,dyn_obstacle_occupation,crowdnav,dwa,rlca,teb
2,0.267,0.1,0.9,1.87,0.0,0.63,101.27,4434240004433.4,90,90,0,0,0,1,20,6,0,265.2632,0.0358,4050,2.3219,10,0.3828,0.6,0.0119,0.0,0.43,0.61,8,5,1,0,0,0
2,0.267,0.17,0.83,1.7,0.0,0.77,72.93,5064393338398.27,90,90,0,0,0,1,40,4,0,100.8,0.0369,4050,2.3219,22,0.3821,0.6,0.0133,0.0,0.65,0.55,8,4,1,0,0,0
1.1,0.625,0.52,0.48,3.59,0.0,0.04,45.35,674837037712.07,50,90,1,15,3,0,0,0,0,180.0,0.014,2250,2.3219,2,0.6656,0.0,0.0,1.0,0.51,0.54,9,5,0,0,1,0
2,0.267,0.52,0.48,0.79,0.0,0.31,51.8,2866375864933.76,70,50,0,0,0,1,20,2,0,163.6364,0.0213,1750,2.3219,16,0.1929,0.4,0.0111,0.0,0.0,0.0,0,0,1,0,0,0
0.22,0.113,0.43,0.53,6.77,0.03,0.1,103.18,1201546667867.13,50,70,1,45,3,0,0,0,0,288.0,0.0176,1750,2.3219,6,0.4143,0.5,0.0134,0.0,0.0,0.0,0,0,0,0,1,0
0.22,0.113,0.69,0.31,0.83,0.0,0.0,34.15,436386207331.45,50,50,1,30,5,0,0,0,0,360.0,0.0138,1250,2.3219,1,0.3108,0.0,0.0,1.0,0.47,0.54,6,3,0,0,1,0
1.1,0.625,0.59,0.41,1.55,0.0,0.21,37.45,1519565518760.14,50,70,0,0,0,1,40,2,0,60.0,0.0202,1750,2.3219,21,0.3097,0.6,0.0178,0.0,0.66,0.23,2,0,1,0,0,0
0.22,0.113,0.33,0.67,1.37,0.0,0.2,149.46,3139520003138.2,50,90,1,15,4,0,0,0,0,360.0,0.0178,2250,2.3219,1,0.548,0.0,0.0,1.0,0.8,0.6,3,2,1,0,0,0
1.1,0.625,0.73,0.27,0.37,0.0,0.0,44.89,1340640001340.4,50,70,0,0,0,1,0,6,0,180.0,0.0219,1750,2.3219,2,0.0674,1.0,0.0004,0.0,0.57,0.63,4,3,1,0,0,0
1.1,0.625,1.0,0.0,0.0,0.0,0.0,50.97,693853334025.87,50,50,1,45,4,0,0,0,0,180.0,0.0149,1250,2.3219,6,0.2736,0.7,0.0072,0.0,0.0,0.0,0,0,1,0,0,0
1.1,0.625,0.73,0.27,0.4,0.0,0.13,43.79,1612783334944.17,90,50,1,15,5,0,0,0,0,180.0,0.015,2250,2.3219,2,0.5929,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0
2,0.267,0.5,0.5,0.5,0.0,0.0,5.76,100325000103.25,50,50,1,15,3,0,0,0,0,180.0,0.0096,1250,2.3219,2,0.606,0.0,0.0,1.0,0.72,0.68,2,1,0,0,1,0
1.1,0.625,0.23,0.77,1.27,0.0,0.4,62.36,3696420003694.2,70,50,1,45,3,0,0,0,0,144.0,0.0172,1750,2.3219,5,0.4254,0.8,0.0065,0.0,0.38,0.65,2,1,1,0,0,0
2,0.267,0.3,0.7,1.7,0.0,0.3,79.78,3137510003136.1,70,70,1,30,5,0,0,0,0,180.0,0.0219,2450,2.3219,5,0.4188,0.4,0.008,0.0,0.47,0.74,9,7,1,0,0,0
1.1,0.625,0.9,0.1,0.27,0.0,0.07,38.81,1243213334575.47,70,50,1,15,4,0,0,0,0,90.0,0.012,1750,2.3219,4,0.6066,1.0,0.0048,0.0,0.0,0.0,0,0,1,0,0,0
1.1,0.625,0.41,0.59,0.97,0.0,0.0,7.45,59655172473.45,70,90,0,0,0,1,30,6,0,300.0,0.0196,3150,2.3219,10,0.6384,0.4,0.0157,0.0,0.45,0.54,6,3,0,0,1,0
1.1,0.625,0.48,0.52,1.55,0.0,0.03,64.03,689862069654.14,50,90,1,15,5,0,0,0,0,180.0,0.0163,2250,2.3219,2,0.5542,1.0,0.0013,0.0,0.64,0.43,6,3,0,0,1,0
0.22,0.113,0.93,0.03,0.03,0.03,0.03,77.85,2100253335432.87,50,70,1,70,4,0,0,0,0,72.0,0.0212,1750,2.3219,6,0.2043,0.7,0.0098,0.0,0.0,0.0,0,0,1,0,0,0
2,0.267,1.0,0.0,0.0,0.0,0.0,66.35,1512823334844.57,50,70,0,0,0,1,0,6,0,180.0,0.0219,1750,2.3219,2,0.0674,1.0,0.0004,0.0,0.54,0.52,2,1,1,0,0,0
2,0.267,0.13,0.8,2.53,0.07,0.53,422.49,4585226671250.93,50,90,1,70,4,0,0,0,0,288.0,0.0249,2250,2.3219,6,0.2836,0.5,0.0153,0.0,0.38,0.78,6,5,0,0,1,0
0.22,0.113,0.8,0.2,0.37,0.0,0.0,72.59,1530693334861.27,70,50,1,45,5,0,0,0,0,180.0,0.0191,1750,2.3219,2,0.2937,0.0,0.0,1.0,0.45,0.54,2,1,1,0,0,0
1.1,0.625,0.5,0.5,1.53,0.0,0.0,35.81,853530000852.3,70,50,1,15,4,0,0,0,0,180.0,0.0116,1750,2.3219,2,0.6277,1.0,0.0002,0.0,0.58,0.57,6,3,1,0,0,0
2,0.267,0.54,0.46,1.79,0.0,0.04,28.79,549785714833.57,50,50,0,0,0,1,40,4,0,264.7059,0.0085,1250,2.3219,12,0.6892,0.3,0.0376,0.0,0.54,0.59,6,4,1,0,0,0
0.22,0.113,0.79,0.21,0.38,0.0,0.0,136.7,2514758623203.79,90,90,0,0,0,1,10,4,0,265.2632,0.0436,4050,2.3219,16,0.1391,0.5,0.0121,0.0,0.0,0.0,0,0,1,0,0,0
2,0.267,0.6,0.4,0.57,0.0,0.0,65.85,1271213334603.47,50,70,1,70,5,0,0,0,0,120.0,0.0203,1750,2.3219,3,0.2409,1.0,0.0126,0.0,0.54,0.56,6,3,1,0,0,0
1.1,0.625,0.47,0.53,1.83,0.0,0.2,70.79,2666543335998.77,70,90,1,15,5,0,0,0,0,360.0,0.0222,3150,2.3219,1,0.5517,0.0,0.0,1.0,0.35,0.63,6,4,1,0,0,0
0.22,0.113,0.7,0.2,0.23,0.1,0.2,57.66,2449253335781.87,50,50,1,15,5,0,0,0,0,90.0,0.013,1250,2.3219,4,0.38,0.5,0.0041,0.0,0.0,0.0,0,0,1,0,0,0
0.22,0.113,0.63,0.37,0.63,0.0,0.03,63.16,1494386668158.53,50,90,1,45,3,0,0,0,0,180.0,0.0207,2250,2.3219,5,0.4487,0.6,0.0046,0.0,0.47,0.45,9,4,1,0,0,0
0.22,0.113,0.3,0.6,0.73,0.1,0.33,116.61,4340563337672.97,70,90,0,0,0,1,40,2,0,72.0,0.0359,3150,2.3219,47,0.1948,0.6,0.0153,0.0,0.0,0.0,0,0,1,0,0,0
2,0.267,0.07,0.57,1.83,0.37,0.53,457.34,5806973339137.07,90,90,0,0,0,1,40,2,0,62.6087,0.0451,4050,2.3219,46,0.1601,0.5,0.0146,0.0,0.48,0.55,8,4,0,0,1,0
2,0.267,0.27,0.73,3.27,0.0,0.2,158.49,2301853335633.87,90,50,1,45,3,0,0,0,0,120.0,0.0202,2250,2.3219,5,0.456,0.2,0.005,0.0,0.48,0.54,9,5,0,0,1,0
2,0.267,0.33,0.23,0.27,0.43,0.13,556.62,4051253337383.87,50,90,1,30,5,0,0,0,0,288.0,0.0226,2250,2.3219,5,0.34,0.4,0.0124,0.0,0.4,0.43,3,1,0,0,1,0
1.1,0.625,0.17,0.83,0.93,0.0,0.77,25.11,5176826671844.93,70,90,0,0,0,1,40,6,0,290.3226,0.017,3150,2.3219,17,0.7102,0.6,0.0128,0.0,0.0,0.0,0,0,1,0,0,0
2,0.267,0.13,0.27,1.07,0.6,0.23,250.44,5280306671943.73,90,90,0,0,0,1,20,6,0,290.3226,0.0351,4050,2.3219,11,0.3978,0.5,0.0122,0.0,0.0,0.0,0,0,0,0,1,0
1.1,0.625,0.3,0.63,1.9,0.07,0.17,71.18,2653196669318.63,90,70,0,0,0,1,30,6,0,221.5385,0.0222,3150,2.3219,7,0.5716,0.6,0.0057,0.0,0.38,0.6,3,2,1,0,0,0
1.1,0.625,0.43,0.57,3.33,0.0,0.17,70.01,1446476668111.43,50,90,0,0,0,1,10,4,0,231.4286,0.0256,2250,2.3219,12,0.2091,0.7,0.017,0.0,0.67,0.61,6,4,0,0,1,0
1.1,0.625,0.93,0.07,0.17,0.0,0.0,29.79,477133333808.67,50,70,0,0,0,1,0,2,0,180.0,0.0219,1750,2.3219,2,0.0674,1.0,0.0004,0.0,0.28,0.44,2,1,0,0,1,0
2,0.267,0.57,0.43,1.1,0.0,0.0,14.94,292653333625.87,50,90,1,15,3,0,0,0,0,180.0,0.0126,2250,2.3219,5,0.6964,0.8,0.0091,0.0,0.33,0.48,6,3,1,0,0,0
1.1,0.625,0.37,0.63,1.03,0.0,0.0,39.27,909673334240.07,50,90,1,30,4,0,0,0,0,180.0,0.0184,2250,2.3219,2,0.4944,1.0,0.0002,0.0,0.49,0.59,9,5,1,0,0,0
2,0.267,0.55,0.45,1.03,0.0,0.1,43.36,1081875863149.1,90,70,1,15,3,0,0,0,0,360.0,0.016,3150,2.3219,1,0.7122,0.0,0.0,1.0,0.56,0.52,3,2,1,0,0,0
0.22,0.113,0.67,0.33,0.43,0.0,0.07,67.47,1714703335048.37,50,90,1,30,4,0,0,0,0,270.0,0.0186,2250,2.3219,3,0.4962,1.0,0.0168,0.0,0.54,0.25,3,1,1,0,0,0
